Age;Gender;Weight (kg);Height (m);Max_BPM;Avg_BPM;Resting_BPM;Session_Duration (hours);Calories_Burned;Workout_Type;Fat_Percentage;Water_Intake (liters);Workout_Frequency (days/week);Experience_Level;BMI;Daily meals frequency;Physical exercise;Carbs;Proteins;Fats;Calories;meal_name;meal_type;diet_type;sugar_g;sodium_mg;cholesterol_mg;serving_size_g;cooking_method;prep_time_min;cook_time_min;rating;Name of Exercise;Sets;Reps;Benefit;Burns Calories (per 30 min);Target Muscle Group;Equipment Needed;Difficulty Level;Body Part;Type of Muscle;Workout;BMI_calc;cal_from_macros;pct_carbs;protein_per_kg;pct_HRR;pct_maxHR;cal_balance;lean_mass_kg;expected_burn;Burns Calories (per 30 min)_bc;Burns_Calories_Bin
50.51;Male;86.37;1.63;160.92;143.2;57.87;1.69;1974.26;Strength;2.907.152.849.804.960;3.49;4.01;2.98;32.51;3.0;0.02;258.98;102.72;68.72;2476.0;Other;Breakfast;Keto;10.0;1356.53;170.61;270.38;Baked;41.73;119.53;2.54;Plank;4.99;17.03;Targets obliques and improves core rotation;356.2;Lower Chest, Triceps;Wall;Intermediate;Abs;Triceps;Bicep Curls;32.507.809.853.588.700;2065.28;0.5015881623799194;1.189.301.840.916.980;0.8280446385249879;0.8898831717623664;501.74;61.260.920.836.234.500;1.203.956;9,98E+34;High
47.77;Female;83.89;1.82;176.36;148.74;69.91;1.91;2733.4;HIIT;2.364.931.819.941.690;3.51;5.02;3.01;25.33;3.01;0.01;231.16;93.27;61.23;2232.0;Other;Snack;Keto;11.88;323.04;135.18;393.39;Grilled;11.26;26.52;4.07;Pull-ups;4.0;20.97;Strengthens lower body;361.13;Chest, Triceps;Dumbbells;Advanced;Shoulders;Quads;Face pulls;2.532.604.757.879.480;1848.79;0.5001325191070917;11.118.130.885.683.600;0.7405354626585251;0.8433885234747108;-5.014.000.000.000.000;6.405.058.696.250.910;13.795.166;1,12E+36;Very High
19.0;Male;82.66;1.96;173.75;168.71;62.16;1.89;2700.62;HIIT;24.128.786.918.912.200;3.5;5.02;2.99;21.52;3.01;0.01;181.82;71.6;48.11;2569.0;Other;Dinner;Vegan;30.3;80.98;210.51;239.19;Baked;10.14;116.47;2.91;Lunges;3.99;23.95;Isolates triceps;357.96;Core, Shoulders, Hips;Bench or Sturdy Surface;Advanced;Abs;Lower Chest;Seated calf raises;215.170.762.182.424;1446.67;0.5027269522420454;0.8661988870070166;0.954834662604176;0.9709928057553956;-1.316.199.999.999.990;627.151.447.328.271;13.530.887.999.999.900;1,04E+36;High
38.01;Female;57.67;1.56;184.91;132.43;54.04;1.64;2345.2;HIIT;2.659.443.119.940.610;2.71;5.0;3.0;23.7;3.98;2.99;369.71;147.77;98.38;1726.0;Other;Breakfast;Low-Carb;35.84;131.07;244.36;471.47;Grilled;37.25;74.43;3.91;Turkish Get-ups;4.99;14.93;Builds unilateral leg strength and balance;338.54;Lower Chest, Triceps;None or Dumbbells;Advanced;Shoulders;Triceps;Fat grip dumbbell curl;236.974.030.243.261;2955.34;0.5003958935350924;25.623.374.371.423.600;0.5989913654771912;0.7161862527716186;-6.191.999.999.999.990;4.233.299.152.730.240;11.104.112;6,59E+34;Medium
27.39;Female;71.79;1.97;180.96;151.11;72.68;0.75;743.85;Strength;24.477.762.525.783.900;3.59;3.01;1.02;18.5;3.01;0.02;207.16;82.59;55.08;2046.0;Other;Lunch;Low-Carb;16.18;674.45;127.06;306.18;Roasted;47.37;119.27;4.24;Plyo Squats;4.0;15.13;Improves core stability;356.83;Shoulders, Triceps;Barbell;Advanced;Chest;Middle;Hammer curls;18.498.286.479.940.200;1654.72;0.5007735447689035;11.504.387.797.743.400;0.7243258219431105;0.8350464190981433;1302.15;5.421.741.428.273.960;535.245;1,01E+36;High
18.86;Female;95.12;1.85;189.48;142.51;49.9;1.2;1293.84;Strength;2.804.992.817.494.370;2.3;4.0;1.98;27.79;2.0;0.96;298.25;118.86;79.54;2455.0;Other;Snack;Paleo;25.56;835.15;299.07;300.06;Raw;60.3;15.35;2.65;Squats;4.99;17.87;Improves core stability and balance;359.74;Rear Deltoids, Upper Back;Resistance Band or Cable Machine;Advanced;Legs;Lower;Plate pinch;27.792.549.306.062.800;2384.3;0.5003564987627396;12.495.794.785.534.000;0.6634904714142427;0.7521110407430863;1161.16;684.389.083.199.935;863.376;1,08E+36;High
40.36;Male;56.88;1.71;168.02;142.67;60.89;1.87;2189.58;Strength;2.180.926.489.283.500;2.69;5.02;3.01;19.45;1.98;0.01;192.66;76.8;51.19;1740.0;Other;Breakfast;Paleo;43.14;58.47;291.5;352.42;Raw;54.98;40.14;2.88;Frog Jumps;5.0;20.9;Strengthens back and improves posture;342.47;Quadriceps, Hamstrings, Glutes;Bench or Sturdy Surface;Advanced;Forearms;Triceps;Donkey kicks;1.945.213.911.972.910;1538.55;0.5008871989860583;1.350.210.970.464.130;0.7633716045925509;0.8491251041542672;-4.495.799.999.999.990;4.447.489.012.895.540;12.808.378.000.000.000;7,24E+35;Medium
37.14;Male;76.48;1.77;180.29;127.8;56.76;1.36;1305.6;Cardio;30.300.737.914.959.700;2.09;4.0;2.0;24.41;2.99;-0.02;233.62;92.99;62.41;2166.0;Other;Breakfast;Low-Carb;27.8;434.36;271.65;370.94;Steamed;39.18;37.58;4.9;Step-ups;5.0;16.98;Improves balance and leg strength;356.98;Quadriceps, Hamstrings, Glutes;Bench or Step;Beginner;Chest;Anterior;Decline dumbbell press;24.411.886.750.295.200;1868.13;0.5002221472809708;1.215.873.430.962.340;0.5750829757953533;0.7088579510788174;8.604.000.000.000.000;5.330.599.564.263.870;9.709.856;1,02E+36;High
18.93;Male;72.56;1.79;177.48;124.41;60.95;0.81;803.36;Strength;2.640.511.440.359.570;1.58;2.99;1.02;22.65;2.99;0.02;219.75;87.27;58.09;1802.0;Other;Lunch;Vegetarian;5.03;1193.73;252.47;366.68;Baked;12.55;43.72;1.1;Lunges;4.0;25.07;Improves posture and strengthens upper back;332.12;Chest, Triceps;Low Bar or TRX;Beginner;Legs;Wrist Flexors;Barbell curls;22.645.984.831.934.000;1750.89;0.5020303959700495;1.202.728.776.185.220;0.5445807946451557;0.7009803921568628;998.64;5.340.044.898.875.090;5.380.344;5,64E+34;Low
46.0;Male;60.05;1.68;164.91;147.1;62.34;1.17;1544.4;HIIT;21.804.029.360.668.200;2.51;4.01;2.0;21.28;1.99;0.01;247.96;99.4;66.24;1716.0;Other;Lunch;Vegetarian;16.21;1318.33;53.39;122.1;Fried;28.89;35.79;1.07;Deadlifts;4.0;23.01;Isolates and strengthens triceps;350.23;Core, Shoulders, Legs;Wall;Intermediate;Chest;Lower;Military press;2.127.621.882.086.160;1985.6;0.4995165189363417;16.552.872.606.161.500;0.826362484157161;0.892001697895822;1.715.999.999.999.990;4.695.668.036.891.870;8.195.382;8,70E+34;High
37.06;Female;73.04;1.74;188.15;140.95;65.11;1.04;1123.2;Strength;2.578.541.781.279.670;2.39;3.0;2.0;24.12;3.02;1.0;300.3;120.63;80.22;2038.0;Other;Snack;Vegan;1.96;2075.74;21.79;229.67;Boiled;43.88;57.5;3.84;Decline Push-ups;4.98;22.86;Targets upper chest;333.67;Shoulders, Upper Back;Cable Machine or Resistance Band;Beginner;Abs;Anterior;Dumbbell front raises;24.124.719.249.570.600;2405.7;0.4993141289437586;16.515.607.886.089.800;0.6163849154746422;0.7491363273983523;914.8;5.420.633.082.953.320;6.940.336.000.000.000;5,85E+34;Low
50.23;Female;86.72;1.63;160.86;143.17;58.08;1.7;1326.0;Yoga;2.912.385.208.982.380;3.51;4.0;3.0;32.64;3.0;-0.01;256.65;103.91;68.88;2212.0;Other;Breakfast;Balanced;10.7;1357.2;172.78;270.05;Raw;42.0;120.0;2.47;Prone Cobras;5.0;17.09;Strengthens back and legs;356.6;Upper Chest, Triceps;Bench or Chair;Advanced;Chest;Posterior;Russian twists;3.263.954.232.376.070;2062.16;0.4978275206579509;1.198.224.169.741.690;0.8278848024907567;0.8900285962949147;886.0;6.146.379.546.770.470;1212.44;1,01E+35;High
30.9;Female;76.77;1.71;189.88;137.2;51.88;1.27;1214.12;Cardio;2.931.860.660.365.020;1.82;3.98;1.95;26.25;2.0;1.01;222.21;89.25;58.85;2182.0;Other;Breakfast;Paleo;15.41;278.9;228.23;407.72;Raw;59.79;72.64;1.76;Glute Bridges;4.0;24.02;Improves shoulder mobility and posture;353.43;Chest, Triceps, Shoulders;Step or Box;Advanced;Forearms;Grip Strength;Hyperextensions;26.254.232.071.406.500;17.754.900.000.000.000;0.5006167311559062;11.625.635.013.677.200;0.6182608695652173;0.722561617863914;967.88;5.426.210.571.037.760;8.977.122;9,37E+34;High
24.03;Female;88.29;1.79;177.55;153.6;65.23;1.76;1831.81;Cardio;267.693.540.494.346;3.48;4.01;3.01;27.56;2.99;-0.01;174.44;69.19;46.48;2410.0;Other;Lunch;Keto;0.81;299.22;187.88;124.74;Boiled;45.62;15.41;2.76;Lat Pulldowns;3.99;23.85;Builds chest strength;350.66;Core, Shoulders, Hips;Bench, Barbell;Intermediate;Back;Grip Strength;Leg raises;27.555.319.746.574.700;1392.84;0.5009620631228282;0.783667459508438;0.7867699430199429;0.8651084201633342;578.19;6.465.533.730.975.410;12.343.232;8,78E+34;High
50.53;Male;57.01;1.91;184.12;131.58;68.07;1.09;1177.2;Strength;2.239.259.644.326.150;2.72;3.99;2.0;15.63;2.01;-0.0;177.97;71.05;47.3;1510.0;Other;Lunch;Keto;7.67;1250.31;138.48;220.52;Steamed;46.48;16.29;1.82;Prone Cobras;4.01;14.99;Strengthens lower body;360.04;Triceps;Kettlebell;Beginner;Forearms;Wrist Flexors;Barbell rows;15.627.312.847.783.700;1421.78;0.5006963102589711;12.462.725.837.572.300;0.5472641102972857;0.7146426243754074;33.279.999.999.999.900;4.424.398.076.769.650;7.848.872.000.000.000;1,09E+36;High
54.03;Female;87.22;1.76;188.72;157.91;68.0;1.48;1067.38;Yoga;28.418.499.463.942.500;3.39;3.0;2.02;28.16;3.0;-0.0;296.87;118.4;79.38;2269.0;Other;Lunch;Keto;15.56;2425.23;235.02;353.93;Fried;25.41;66.78;2.67;Bear Crawls;5.0;16.88;Builds upper body strength;338.3;Chest, Triceps;Cable Machine;Advanced;Chest;Middle;Skull crushers;2.815.728.305.785.120;2375.5;0.4998863397179541;13.574.868.149.506.900;0.7447813121272365;0.8367422636710471;1201.62;6.243.338.476.754.920;1.001.368;6,55E+35;Medium
25.11;Female;105.44;1.88;174.12;155.79;67.11;1.33;1277.86;Cardio;30.892.571.504.733.900;2.28;2.99;2.01;29.83;4.02;0.02;198.29;79.79;52.85;3016.0;Other;Lunch;Balanced;43.02;2092.8;254.4;466.3;Raw;50.18;36.63;3.97;Mountain Climbers;3.98;15.03;Builds explosive power;355.39;Obliques, Core;Pull-up Bar;Beginner;Shoulders;Lower;Plate pinch;2.983.250.339.520.140;1587.97;0.499480468774599;0.7567336874051594;0.8287075974208017;0.8947277739490006;1738.14;7.286.687.260.540.850;9.453.374;9,80E+34;High
39.05;Male;102.34;1.94;192.28;133.68;50.01;0.9;792.0;Cardio;3.246.285.886.287.690;2.41;3.01;1.0;27.19;3.02;-0.03;282.28;111.71;74.89;2624.0;Other;Lunch;Vegan;9.88;434.89;2.84;459.96;Baked;30.6;105.57;1.9;Russian Twists;5.02;22.0;Builds shoulder width;368.66;Core;Resistance Band;Beginner;Forearms;Posterior;Bicycle crunches;27.192.050.164.735.800;2249.97;0.5018378022818082;10.915.575.532.538.500;0.5881071202642862;0.6952361140004161;1832.0;6.911.751.023.973.170;6.635.880.000.000.000;1,32E+36;Very High
44.1;Female;89.6;1.99;192.1;135.01;58.1;1.4;1848.0;HIIT;2.309.052.321.392.090;2.02;4.0;2.0;22.63;2.99;1.04;321.28;128.81;85.61;2601.0;Other;Dinner;Paleo;7.3;2434.23;249.77;96.89;Raw;59.95;49.69;1.91;Shoulder Press;4.99;14.99;Strengthens back and legs;339.35;Chest, Triceps;Wall;Advanced;Back;Lower;Close-grip bench press;2.262.569.127.042.240;2570.85;0.4998813621953828;14.376.116.071.428.500;0.5739552238805969;0.7028110359187922;753.0;6.891.089.120.032.680;950.18;6,72E+34;Medium
18.06;Male;58.56;1.61;174.64;150.33;70.81;1.9;2226.42;Strength;24.496.921.662.616.700;2.72;3.99;3.02;22.59;2.99;0.03;231.25;92.48;61.37;1549.0;Other;Snack;Low-Carb;30.58;276.74;266.46;269.54;Baked;59.07;21.53;1.99;Tricep Dips;4.99;24.98;Improves core stability and balance;334.26;Back, Biceps;None or Dumbbells;Advanced;Arms;Anterior;Decline cable crossovers;22.591.720.998.418.200;1847.25;0.5007443497090269;15.792.349.726.775.900;0.7658672830588464;0.8607993586807148;-6.774.200.000.000.000;44.214.602.674.371.600;1.270.188;5,94E+35;Low
57.07;Female;76.9;1.86;173.05;140.94;55.07;1.15;827.31;Yoga;29.439.410.708.808.700;2.8;3.99;1.99;22.23;1.98;-0.0;207.11;82.81;55.52;1981.0;Other;Breakfast;Vegetarian;4.58;365.77;281.74;161.5;Fried;7.91;66.82;4.15;Kettlebell Swings;3.99;16.01;Advanced core exercise;353.89;Shoulders, Upper Back;Bench or Sturdy Surface;Beginner;Legs;Lats;Russian twists;2.222.800.323.736.840;1659.36;0.4992527239417607;1.076.853.055.916.770;0.7278352263095439;0.8144466917075989;1153.69;5.426.109.316.492.600;8.139.469.999.999.990;9,47E+33;High
49.66;Male;52.57;1.84;195.03;124.28;51.7;1.38;1324.8;Cardio;1.484.197.561.792.190;3.1;4.0;2.0;15.53;3.0;-0.02;169.5;68.42;45.57;1497.0;Other;Snack;Paleo;41.73;2315.93;148.84;212.06;Baked;57.1;8.62;2.2;Resistance Band Pull-Aparts;5.01;16.02;Targets biceps and forearms;346.31;Full Body;Dumbbells;Beginner;Legs;Triceps;Hanging leg raises;15.527.528.355.387.500;1361.81;0.4978668096136759;13.015.027.582.271.200;0.5063838693923115;0.6372352971337742;17.220.000.000.000.000;4.476.757.341.765.840;9.558.156;7,93E+34;Medium
31.63;Male;126.53;1.83;197.68;146.15;61.92;1.1;790.68;Yoga;35.0;2.09;2.99;1.98;37.78;3.0;0.02;304.8;122.78;81.51;3255.0;Other;Breakfast;Keto;44.74;86.45;181.63;284.83;Baked;7.94;54.61;2.2;Leg Raises;5.0;18.06;Improves lower back strength;361.2;Glutes, Hamstrings;Cable Machine or Resistance Band;Beginner;Abs;Lower Chest;Bird dog;377.825.554.659.739;24.439.100.000.000.000;0.498872708078448;0.9703627598198056;0.6204331172657632;0.7393261837312829;2464.32;822.445;794.64;1,12E+36;Very High
41.8;Male;59.72;1.74;194.24;141.17;51.86;1.78;2545.4;HIIT;19.446.703.083.030.100;2.7;5.01;3.0;19.73;3.01;-0.03;202.57;80.05;53.22;1741.0;Other;Dinner;Paleo;35.39;2121.96;204.6;433.04;Roasted;8.84;22.7;1.19;Tricep Extensions;5.01;15.88;Strengthens core and improves mobility;364.95;Quadriceps, Glutes;Barbell;Beginner;Shoulders;Quads;Dumbbell flyes;1.972.519.487.382.740;1609.46;0.5034483615622631;13.404.219.691.895.500;0.6272650653181626;0.7267813014827017;-8.044.000.000.000.000;481.064.289.188.144;1.299.222;1,22E+36;Very High
37.51;Male;76.59;1.82;191.56;121.3;49.83;1.49;1072.8;Yoga;2.257.558.193.854.220;2.8;3.98;2.0;23.12;3.02;-0.02;188.66;76.42;50.28;1950.0;Other;Lunch;Balanced;2.81;2413.37;111.51;329.67;Roasted;39.77;61.64;2.4;Deadlifts;3.98;19.04;Improves back strength and posture;344.07;Quadriceps, Calves, Glutes;Pull-up Bar;Beginner;Back;Grip Strength;Plate pinch;23.122.207.462.866.800;1512.84;0.4988234049866476;0.9977803890847368;0.5042686798842869;0.633221967007726;877.2;59.299.361.793.270.500;10.253.286;7,52E+34;Medium
39.98;Male;79.99;1.76;167.75;166.6;74.26;1.63;1902.7;Strength;28.830.453.231.342.800;3.5;5.01;2.97;25.82;3.01;0.01;235.62;94.49;62.77;2030.0;Other;Dinner;Keto;27.18;1259.35;186.37;484.4;Steamed;41.61;13.87;3.4;Dead Bugs;5.03;21.92;Builds lower body power;348.23;Triceps;Resistance Band;Beginner;Shoulders;Posterior;Leg raises;2.582.321.797.520.660;1885.37;0.4998912680269655;11.812.726.590.823.800;0.9876992191678252;0.9931445603576752;12.729.999.999.999.900;5.692.852.046.024.880;11.352.298;8,30E+34;Medium
25.49;Female;127.55;1.73;167.12;159.98;62.04;1.33;1607.84;HIIT;35.0;2.91;3.02;1.0;42.62;2.99;-0.01;296.66;117.99;78.86;3313.0;Other;Snack;Low-Carb;4.0;2351.97;119.73;379.38;Boiled;46.93;29.37;2.48;Frog Jumps;2.99;10.07;Builds shoulder width;130.05;Core, Shoulders, Hips;Wall;Beginner;Arms;Triceps;Bird dog;4.261.752.814.995.480;2368.34;0.5010429245800856;0.9250490003920032;0.932051770079939;0.9572762087123023;1705.16;829.075;34.593.300.000.000.000;2,70E+32;Low
58.24;Female;56.96;1.7;170.09;121.89;57.07;0.74;895.4;HIIT;235.650.452.462.822;2.7;1.99;1.0;19.71;3.0;-0.01;205.31;83.24;55.37;1390.0;Other;Dinner;Low-Carb;8.38;1490.43;270.33;284.74;Roasted;48.63;89.23;3.01;Scissors Kicks;4.99;16.02;Strengthens core and improves mobility;357.81;Shoulders, Upper Back;None or Dumbbells;Advanced;Forearms;Lats;Standing calf raises;1.970.934.256.055.360;1652.53;0.4969592080022753;1.461.376.404.494.380;0.5735268094142628;0.7166206126168498;494.6;4.353.735.022.771.760;5.295.588;1,04E+36;High
48.18;Female;56.53;1.51;184.75;125.44;52.26;1.37;1311.91;Cardio;2.850.765.309.226.640;2.11;3.97;1.97;24.79;3.0;0.01;215.24;85.55;57.33;1489.0;Other;Breakfast;Paleo;35.32;1707.76;53.01;130.6;Roasted;18.25;96.05;1.99;Plyometric Push-ups;5.02;23.09;Improves unilateral leg strength and balance;330.57;Lower Abs;Bench, Barbell;Intermediate;Legs;Wrist Flexors;Dumbbell rows;2.479.277.224.683.120;1719.13;0.5008114569578799;1.513.355.740.314.870;0.5523435730998566;0.6789715832205683;17.708.999.999.999.900;40.414.623.706.941.700;9.057.618;5,42E+34;Low
27.19;Male;88.2;1.98;161.8;152.85;52.99;1.8;2577.96;HIIT;21.047.071.801.739.800;3.5;4.01;3.02;22.5;2.02;1.0;296.47;118.19;79.21;2531.0;Other;Dinner;Vegan;19.02;345.67;219.13;116.63;Boiled;31.19;13.76;4.42;Frog Jumps;4.0;23.96;Improves core stability and upper body strength;336.55;Lower Abs;Box or Platform;Advanced;Abs;Middle;Incline dumbbell press;22.497.704.315.886.100;2371.53;0.5000484919018524;1.340.022.675.736.960;0.9177465306497564;0.9446847960444992;-4.696.000.000.000.000;6.963.648.267.086.540;12.115.800.000.000.000;6,28E+33;Low
40.14;Male;51.72;1.61;198.12;128.23;70.18;0.86;566.57;Yoga;2.371.315.012.526.430;3.32;1.99;1.0;19.95;1.99;-0.02;217.46;86.75;57.22;1325.0;Other;Snack;Keto;27.11;1959.49;37.92;145.4;Grilled;28.56;78.55;2.62;Push Ups;3.99;23.0;Strengthens back and improves posture;359.4;Core, Obliques;Bench or Step;Intermediate;Back;Lower;Hammer curl;19.952.933.914.586.600;17.318.200.000.000.000;0.5022692889561271;16.773.008.507.347.200;0.4537283101453805;0.6472339995962042;758.43;3.945.555.875.521.320;618.168;1,07E+36;High
41.1;Female;77.05;1.79;171.94;132.06;56.07;1.4;1849.54;HIIT;25.765.634.036.189.000;2.0;4.0;2.01;24.05;2.99;0.02;291.2;115.86;77.53;2334.0;Other;Snack;Paleo;22.78;790.39;88.06;392.68;Roasted;5.79;35.76;4.81;Leg Press;4.0;22.02;Builds calf muscles;331.76;Legs, Shoulders, Core;Bench or Sturdy Surface;Advanced;Forearms;Wrist Flexors;Bent-over lateral raises;24.047.314.378.452.600;2326.01;0.5007717077742572;15.036.988.968.202.400;0.6558211789073962;0.7680586251017797;484.46;5.719.757.897.511.630;928.928;5,59E+34;Low
52.36;Female;51.93;1.67;169.0;124.55;51.78;1.5;1818.3;HIIT;220.592.370.284.323;1.51;1.97;1.02;18.62;3.01;0.01;282.27;112.63;74.94;1353.0;Other;Dinner;Paleo;29.84;1419.55;134.3;177.23;Baked;51.42;67.35;1.53;Bench Press;4.98;18.0;Targets lower abs;350.88;Shoulders;Bench, Barbell;Intermediate;Shoulders;Anterior;Leg extensions;18.620.244.540.858.400;2254.06;0.5009094700229807;21.688.811.862.122.000;0.6207984985497356;0.73698224852071;-465.3;4.047.463.821.113.510;1052.64;8,83E+34;High
